bucket,locale,classification,line_count,pivot_line_count,tail_delta,file_bytes
LocationDialogue Location1,Arabic,present,143,143,0,17398
LocationDialogue Location1,Arabic (Egyptian),present,143,143,0,17017
LocationDialogue Location1,Belarusian,present,143,143,0,16008
LocationDialogue Location1,Bulgarian,present,143,143,0,15785
LocationDialogue Location1,ChineseSimplified,present,143,143,0,13924
LocationDialogue Location1,ChineseTraditional,present,143,143,0,13927
LocationDialogue Location1,Croatian,present,143,143,0,13787
LocationDialogue Location1,Czech,present,143,143,0,13959
LocationDialogue Location1,English,present,143,143,0,13798
LocationDialogue Location1,Filipino,present,143,143,0,14110
LocationDialogue Location1,French,present,143,143,0,14645
LocationDialogue Location1,German,present,143,143,0,14412
LocationDialogue Location1,Hungarian,present,143,143,0,13737
LocationDialogue Location1,Indonesia,present,143,143,0,14103
LocationDialogue Location1,Italian,present,143,143,0,13946
LocationDialogue Location1,Japanese,present,143,143,0,15083
LocationDialogue Location1,Kazakh,present,143,143,0,16288
LocationDialogue Location1,Korean,present,143,143,0,14457
LocationDialogue Location1,Persian,present,143,143,0,18053
LocationDialogue Location1,Polish,present,143,143,0,13869
LocationDialogue Location1,Portugues Portugal,present,143,143,0,14031
LocationDialogue Location1,Português-Brasil,present,143,143,0,14160
LocationDialogue Location1,Pre-revolutionaryRussian,present,143,143,0,16477
LocationDialogue Location1,Romanian,present,143,143,0,13939
LocationDialogue Location1,Russian,present,143,143,0,16147
LocationDialogue Location1,Serbian (Latin),present,143,143,0,13716
LocationDialogue Location1,Slovak,present,143,143,0,13911
LocationDialogue Location1,Spanish (LatinAmerica),present,143,143,0,13951
LocationDialogue Location1,Spanish (Spain),present,143,143,0,14081
LocationDialogue Location1,Swedish,present,143,143,0,14272
LocationDialogue Location1,Thai,present,143,143,0,18224
LocationDialogue Location1,Turkish,present,143,143,0,13916
LocationDialogue Location1,Ukrainian,present,143,143,0,16180
LocationDialogue Location1,Vietnamese,present,143,143,0,15113
LocationDialogue Location10,Arabic,present,246,246,0,28265
LocationDialogue Location10,Arabic (Egyptian),present,246,246,0,29367
LocationDialogue Location10,Belarusian,present,246,246,0,26991
LocationDialogue Location10,Bulgarian,present,246,246,0,26326
LocationDialogue Location10,ChineseSimplified,present,246,246,0,24017
LocationDialogue Location10,ChineseTraditional,present,246,246,0,24002
LocationDialogue Location10,Croatian,present,246,246,0,23081
LocationDialogue Location10,Czech,present,246,246,0,23774
LocationDialogue Location10,English,present,246,246,0,23649
LocationDialogue Location10,Filipino,present,246,246,0,23993
LocationDialogue Location10,French,present,246,246,0,24891
LocationDialogue Location10,German,present,246,246,0,24304
LocationDialogue Location10,Hungarian,present,246,246,0,23505
LocationDialogue Location10,Indonesia,present,246,246,0,23801
LocationDialogue Location10,Italian,present,246,246,0,23623
LocationDialogue Location10,Japanese,present,246,246,0,24920
LocationDialogue Location10,Kazakh,present,246,246,0,27776
LocationDialogue Location10,Korean,present,246,246,0,24675
LocationDialogue Location10,Persian,present,246,246,0,29450
LocationDialogue Location10,Polish,present,246,246,0,23602
LocationDialogue Location10,Portugues Portugal,present,246,246,0,23661
LocationDialogue Location10,Português-Brasil,present,246,246,0,23544
LocationDialogue Location10,Pre-revolutionaryRussian,present,246,246,0,27680
LocationDialogue Location10,Romanian,present,246,246,0,23724
LocationDialogue Location10,Russian,present,246,246,0,27205
LocationDialogue Location10,Serbian (Latin),present,246,246,0,23096
LocationDialogue Location10,Slovak,present,246,246,0,23454
LocationDialogue Location10,Spanish (LatinAmerica),present,246,246,0,23618
LocationDialogue Location10,Spanish (Spain),present,246,246,0,23730
LocationDialogue Location10,Swedish,present,246,246,0,23733
LocationDialogue Location10,Thai,present,246,246,0,30569
LocationDialogue Location10,Turkish,present,246,246,0,23096
LocationDialogue Location10,Ukrainian,present,246,246,0,27095
LocationDialogue Location10,Vietnamese,present,246,246,0,25262
LocationDialogue Location11,Arabic,present,188,188,0,19615
LocationDialogue Location11,Arabic (Egyptian),present,188,188,0,21135
LocationDialogue Location11,Belarusian,present,188,188,0,18906
LocationDialogue Location11,Bulgarian,present,188,188,0,18850
LocationDialogue Location11,ChineseSimplified,present,188,188,0,17169
LocationDialogue Location11,ChineseTraditional,present,188,188,0,17193
LocationDialogue Location11,Croatian,present,188,188,0,16981
LocationDialogue Location11,Czech,present,188,188,0,17150
LocationDialogue Location11,English,present,188,188,0,17194
LocationDialogue Location11,Filipino,present,188,188,0,17434
LocationDialogue Location11,French,present,188,188,0,17936
LocationDialogue Location11,German,present,188,188,0,17596
LocationDialogue Location11,Hungarian,present,188,188,0,17306
LocationDialogue Location11,Indonesia,present,188,188,0,17387
LocationDialogue Location11,Italian,present,188,188,0,17225
LocationDialogue Location11,Japanese,present,188,188,0,18245
LocationDialogue Location11,Kazakh,present,188,188,0,19345
LocationDialogue Location11,Korean,present,188,188,0,17996
LocationDialogue Location11,Persian,present,188,188,0,20289
LocationDialogue Location11,Polish,present,188,188,0,17306
LocationDialogue Location11,Portugues Portugal,present,188,188,0,17265
LocationDialogue Location11,Português-Brasil,present,188,188,0,17263
LocationDialogue Location11,Pre-revolutionaryRussian,present,188,188,0,19191
LocationDialogue Location11,Romanian,present,188,188,0,17277
LocationDialogue Location11,Russian,present,188,188,0,18992
LocationDialogue Location11,Serbian (Latin),present,188,188,0,16959
LocationDialogue Location11,Slovak,present,188,188,0,17134
LocationDialogue Location11,Spanish (LatinAmerica),present,188,188,0,17302
LocationDialogue Location11,Spanish (Spain),present,188,188,0,17274
LocationDialogue Location11,Swedish,present,188,188,0,17452
LocationDialogue Location11,Thai,present,188,188,0,21824
LocationDialogue Location11,Turkish,present,188,188,0,17036
LocationDialogue Location11,Ukrainian,present,188,188,0,18911
LocationDialogue Location11,Vietnamese,present,188,188,0,18444
LocationDialogue Location12,Arabic,present,71,71,0,6884
LocationDialogue Location12,Arabic (Egyptian),present,71,71,0,7397
LocationDialogue Location12,Belarusian,present,71,71,0,6744
LocationDialogue Location12,Bulgarian,present,71,71,0,6702
LocationDialogue Location12,ChineseSimplified,present,71,71,0,6413
LocationDialogue Location12,ChineseTraditional,present,71,71,0,6413
LocationDialogue Location12,Croatian,present,71,71,0,6174
LocationDialogue Location12,Czech,present,71,71,0,6286
LocationDialogue Location12,English,present,71,71,0,6225
LocationDialogue Location12,Filipino,present,71,71,0,6330
LocationDialogue Location12,French,present,71,71,0,6441
LocationDialogue Location12,German,present,71,71,0,6379
LocationDialogue Location12,Hungarian,present,71,71,0,6212
LocationDialogue Location12,Indonesia,present,71,71,0,6278
LocationDialogue Location12,Italian,present,71,71,0,6209
LocationDialogue Location12,Japanese,present,71,71,0,6544
LocationDialogue Location12,Kazakh,present,71,71,0,6928
LocationDialogue Location12,Korean,present,71,71,0,6550
LocationDialogue Location12,Persian,present,71,71,0,7446
LocationDialogue Location12,Polish,present,71,71,0,6205
LocationDialogue Location12,Portugues Portugal,present,71,71,0,6274
LocationDialogue Location12,Português-Brasil,present,71,71,0,6271
LocationDialogue Location12,Pre-revolutionaryRussian,present,71,71,0,6900
LocationDialogue Location12,Romanian,present,71,71,0,6211
LocationDialogue Location12,Russian,present,71,71,0,6825
LocationDialogue Location12,Serbian (Latin),present,71,71,0,6204
LocationDialogue Location12,Slovak,present,71,71,0,6251
LocationDialogue Location12,Spanish (LatinAmerica),present,71,71,0,6196
LocationDialogue Location12,Spanish (Spain),present,71,71,0,6168
LocationDialogue Location12,Swedish,present,71,71,0,6257
LocationDialogue Location12,Thai,present,71,71,0,7593
LocationDialogue Location12,Turkish,present,71,71,0,6195
LocationDialogue Location12,Ukrainian,present,71,71,0,6779
LocationDialogue Location12,Vietnamese,present,71,71,0,6584
LocationDialogue Location13,Arabic,present,233,233,0,26506
LocationDialogue Location13,Arabic (Egyptian),present,233,233,0,27958
LocationDialogue Location13,Belarusian,present,233,233,0,25522
LocationDialogue Location13,Bulgarian,present,233,233,0,24893
LocationDialogue Location13,ChineseSimplified,present,233,233,0,22311
LocationDialogue Location13,ChineseTraditional,present,233,233,0,22305
LocationDialogue Location13,Croatian,present,233,233,0,21930
LocationDialogue Location13,Czech,present,233,233,0,22691
LocationDialogue Location13,English,present,233,233,0,22488
LocationDialogue Location13,Filipino,present,233,233,0,22640
LocationDialogue Location13,French,present,233,233,0,23421
LocationDialogue Location13,German,present,233,233,0,22972
LocationDialogue Location13,Hungarian,present,233,233,0,22122
LocationDialogue Location13,Indonesia,present,233,233,0,22327
LocationDialogue Location13,Italian,present,233,233,0,22378
LocationDialogue Location13,Japanese,present,233,233,0,24050
LocationDialogue Location13,Kazakh,present,233,233,0,26248
LocationDialogue Location13,Korean,present,233,233,0,23072
LocationDialogue Location13,Persian,present,233,233,0,27517
LocationDialogue Location13,Polish,present,233,233,0,22078
LocationDialogue Location13,Portugues Portugal,present,233,233,0,22496
LocationDialogue Location13,Português-Brasil,present,233,233,0,22214
LocationDialogue Location13,Pre-revolutionaryRussian,present,233,233,0,25993
LocationDialogue Location13,Romanian,present,233,233,0,22344
LocationDialogue Location13,Russian,present,233,233,0,25535
LocationDialogue Location13,Serbian (Latin),present,233,233,0,21930
LocationDialogue Location13,Slovak,present,233,233,0,22158
LocationDialogue Location13,Spanish (LatinAmerica),present,233,233,0,22328
LocationDialogue Location13,Spanish (Spain),present,233,233,0,22284
LocationDialogue Location13,Swedish,present,233,233,0,22571
LocationDialogue Location13,Thai,present,233,233,0,28911
LocationDialogue Location13,Turkish,present,233,233,0,22028
LocationDialogue Location13,Ukrainian,present,233,233,0,25535
LocationDialogue Location13,Vietnamese,present,233,233,0,24107
LocationDialogue Location14,Arabic,present,217,217,0,27037
LocationDialogue Location14,Arabic (Egyptian),present,217,217,0,28907
LocationDialogue Location14,Belarusian,present,217,217,0,25486
LocationDialogue Location14,Bulgarian,present,217,217,0,25592
LocationDialogue Location14,ChineseSimplified,present,217,217,0,22010
LocationDialogue Location14,ChineseTraditional,present,217,217,0,22020
LocationDialogue Location14,Croatian,present,217,217,0,21604
LocationDialogue Location14,Czech,present,217,217,0,21857
LocationDialogue Location14,English,present,217,217,0,22089
LocationDialogue Location14,Filipino,present,217,217,0,22442
LocationDialogue Location14,French,present,217,217,0,23053
LocationDialogue Location14,German,present,217,217,0,22762
LocationDialogue Location14,Hungarian,present,217,217,0,21899
LocationDialogue Location14,Indonesia,present,217,217,0,22555
LocationDialogue Location14,Italian,present,217,217,0,21930
LocationDialogue Location14,Japanese,present,217,217,0,23650
LocationDialogue Location14,Kazakh,present,217,217,0,26556
LocationDialogue Location14,Korean,present,217,217,0,23696
LocationDialogue Location14,Persian,present,217,217,0,28396
LocationDialogue Location14,Polish,present,217,217,0,22058
LocationDialogue Location14,Portugues Portugal,present,217,217,0,21955
LocationDialogue Location14,Português-Brasil,present,217,217,0,22120
LocationDialogue Location14,Pre-revolutionaryRussian,present,217,217,0,26185
LocationDialogue Location14,Romanian,present,217,217,0,22228
LocationDialogue Location14,Russian,present,217,217,0,25530
LocationDialogue Location14,Serbian (Latin),present,217,217,0,21720
LocationDialogue Location14,Slovak,present,217,217,0,21820
LocationDialogue Location14,Spanish (LatinAmerica),present,217,217,0,21899
LocationDialogue Location14,Spanish (Spain),present,217,217,0,22042
LocationDialogue Location14,Swedish,present,217,217,0,22273
LocationDialogue Location14,Thai,present,217,217,0,29882
LocationDialogue Location14,Turkish,present,217,217,0,21844
LocationDialogue Location14,Ukrainian,present,217,217,0,25521
LocationDialogue Location14,Vietnamese,present,217,217,0,24428
LocationDialogue Location15,Arabic,present,221,221,0,23051
LocationDialogue Location15,Arabic (Egyptian),present,221,221,0,24340
LocationDialogue Location15,Belarusian,present,221,221,0,22665
LocationDialogue Location15,Bulgarian,present,221,221,0,22169
LocationDialogue Location15,ChineseSimplified,present,221,221,0,20168
LocationDialogue Location15,ChineseTraditional,present,221,221,0,20165
LocationDialogue Location15,Croatian,present,221,221,0,19835
LocationDialogue Location15,Czech,present,221,221,0,20320
LocationDialogue Location15,English,present,221,221,0,20229
LocationDialogue Location15,Filipino,present,221,221,0,20341
LocationDialogue Location15,French,present,221,221,0,21215
LocationDialogue Location15,German,present,221,221,0,20822
LocationDialogue Location15,Hungarian,present,221,221,0,19933
LocationDialogue Location15,Indonesia,present,221,221,0,20376
LocationDialogue Location15,Italian,present,221,221,0,20112
LocationDialogue Location15,Japanese,present,221,221,0,21529
LocationDialogue Location15,Kazakh,present,221,221,0,23277
LocationDialogue Location15,Korean,present,221,221,0,21135
LocationDialogue Location15,Persian,present,221,221,0,23951
LocationDialogue Location15,Polish,present,221,221,0,19963
LocationDialogue Location15,Portugues Portugal,present,221,221,0,20181
LocationDialogue Location15,Português-Brasil,present,221,221,0,20174
LocationDialogue Location15,Pre-revolutionaryRussian,present,221,221,0,22998
LocationDialogue Location15,Romanian,present,221,221,0,20190
LocationDialogue Location15,Russian,present,221,221,0,22755
LocationDialogue Location15,Serbian (Latin),present,221,221,0,19890
LocationDialogue Location15,Slovak,present,221,221,0,20073
LocationDialogue Location15,Spanish (LatinAmerica),present,221,221,0,20298
LocationDialogue Location15,Spanish (Spain),present,221,221,0,20156
LocationDialogue Location15,Swedish,present,221,221,0,20376
LocationDialogue Location15,Thai,present,221,221,0,25557
LocationDialogue Location15,Turkish,present,221,221,0,19822
LocationDialogue Location15,Ukrainian,present,221,221,0,22755
LocationDialogue Location15,Vietnamese,present,221,221,0,21577
LocationDialogue Location16,Arabic,filler,-1,-1,,-1
LocationDialogue Location16,Arabic (Egyptian),filler,-1,-1,,-1
LocationDialogue Location16,Belarusian,filler,-1,-1,,-1
LocationDialogue Location16,Bulgarian,filler,-1,-1,,-1
LocationDialogue Location16,ChineseSimplified,filler,-1,-1,,-1
LocationDialogue Location16,ChineseTraditional,filler,-1,-1,,-1
LocationDialogue Location16,Croatian,filler,-1,-1,,-1
LocationDialogue Location16,Czech,filler,-1,-1,,-1
LocationDialogue Location16,English,filler,-1,-1,,-1
LocationDialogue Location16,Filipino,filler,-1,-1,,-1
LocationDialogue Location16,French,contentless,0,-1,,0
LocationDialogue Location16,German,filler,-1,-1,,-1
LocationDialogue Location16,Hungarian,filler,-1,-1,,-1
LocationDialogue Location16,Indonesia,filler,-1,-1,,-1
LocationDialogue Location16,Italian,filler,-1,-1,,-1
LocationDialogue Location16,Japanese,filler,-1,-1,,-1
LocationDialogue Location16,Kazakh,filler,-1,-1,,-1
LocationDialogue Location16,Korean,filler,-1,-1,,-1
LocationDialogue Location16,Persian,filler,-1,-1,,-1
LocationDialogue Location16,Polish,filler,-1,-1,,-1
LocationDialogue Location16,Portugues Portugal,filler,-1,-1,,-1
LocationDialogue Location16,Português-Brasil,filler,-1,-1,,-1
LocationDialogue Location16,Pre-revolutionaryRussian,filler,-1,-1,,-1
LocationDialogue Location16,Romanian,filler,-1,-1,,-1
LocationDialogue Location16,Russian,filler,-1,-1,,-1
LocationDialogue Location16,Serbian (Latin),filler,-1,-1,,-1
LocationDialogue Location16,Slovak,filler,-1,-1,,-1
LocationDialogue Location16,Spanish (LatinAmerica),filler,-1,-1,,-1
LocationDialogue Location16,Spanish (Spain),filler,-1,-1,,-1
LocationDialogue Location16,Swedish,filler,-1,-1,,-1
LocationDialogue Location16,Thai,filler,-1,-1,,-1
LocationDialogue Location16,Turkish,filler,-1,-1,,-1
LocationDialogue Location16,Ukrainian,filler,-1,-1,,-1
LocationDialogue Location16,Vietnamese,filler,-1,-1,,-1
LocationDialogue Location17,Arabic,present,161,161,0,15317
LocationDialogue Location17,Arabic (Egyptian),present,161,161,0,17228
LocationDialogue Location17,Belarusian,present,161,161,0,14949
LocationDialogue Location17,Bulgarian,present,161,161,0,14574
LocationDialogue Location17,ChineseSimplified,present,161,161,0,13948
LocationDialogue Location17,ChineseTraditional,present,161,161,0,13945
LocationDialogue Location17,Croatian,present,161,161,0,13701
LocationDialogue Location17,Czech,present,161,161,0,13646
LocationDialogue Location17,English,present,161,161,0,13944
LocationDialogue Location17,Filipino,present,161,161,0,13806
LocationDialogue Location17,French,present,161,161,0,14357
LocationDialogue Location17,German,present,161,161,0,14062
LocationDialogue Location17,Hungarian,present,161,161,0,13803
LocationDialogue Location17,Indonesia,present,161,161,0,13837
LocationDialogue Location17,Italian,present,161,161,0,13881
LocationDialogue Location17,Japanese,present,161,161,0,14544
LocationDialogue Location17,Kazakh,present,161,161,0,15452
LocationDialogue Location17,Korean,present,161,161,0,14317
LocationDialogue Location17,Persian,present,161,161,0,15485
LocationDialogue Location17,Polish,present,161,161,0,13717
LocationDialogue Location17,Portugues Portugal,present,161,161,0,14113
LocationDialogue Location17,Português-Brasil,present,161,161,0,13840
LocationDialogue Location17,Pre-revolutionaryRussian,present,161,161,0,15128
LocationDialogue Location17,Romanian,present,161,161,0,13707
LocationDialogue Location17,Russian,present,161,161,0,15035
LocationDialogue Location17,Serbian (Latin),present,161,161,0,13684
LocationDialogue Location17,Slovak,present,161,161,0,13720
LocationDialogue Location17,Spanish (LatinAmerica),present,161,161,0,13822
LocationDialogue Location17,Spanish (Spain),present,161,161,0,13955
LocationDialogue Location17,Swedish,present,161,161,0,13953
LocationDialogue Location17,Thai,present,161,161,0,16155
LocationDialogue Location17,Turkish,present,161,161,0,13735
LocationDialogue Location17,Ukrainian,present,161,161,0,15024
LocationDialogue Location17,Vietnamese,present,161,161,0,14395
LocationDialogue Location18,Arabic,present,259,259,0,35421
LocationDialogue Location18,Arabic (Egyptian),present,259,259,0,36615
LocationDialogue Location18,Belarusian,present,259,259,0,35011
LocationDialogue Location18,Bulgarian,present,259,259,0,33071
LocationDialogue Location18,ChineseSimplified,present,259,259,0,28194
LocationDialogue Location18,ChineseTraditional,present,259,259,0,28452
LocationDialogue Location18,Croatian,present,259,259,0,27733
LocationDialogue Location18,Czech,present,259,259,0,28764
LocationDialogue Location18,English,present,259,259,0,28638
LocationDialogue Location18,Filipino,present,259,259,0,28777
LocationDialogue Location18,French,present,259,259,0,31240
LocationDialogue Location18,German,present,259,259,0,29823
LocationDialogue Location18,Hungarian,present,259,259,0,29294
LocationDialogue Location18,Indonesia,present,259,259,0,28816
LocationDialogue Location18,Italian,present,259,259,0,28165
LocationDialogue Location18,Japanese,present,259,259,0,32554
LocationDialogue Location18,Kazakh,present,259,259,0,36613
LocationDialogue Location18,Korean,present,259,259,0,29409
LocationDialogue Location18,Persian,present,259,259,0,38389
LocationDialogue Location18,Polish,present,259,259,0,27906
LocationDialogue Location18,Portugues Portugal,present,259,259,0,28267
LocationDialogue Location18,Português-Brasil,present,256,259,-3,28361
LocationDialogue Location18,Pre-revolutionaryRussian,present,259,259,0,36465
LocationDialogue Location18,Romanian,present,259,259,0,28296
LocationDialogue Location18,Russian,present,259,259,0,35608
LocationDialogue Location18,Serbian (Latin),present,259,259,0,27641
LocationDialogue Location18,Slovak,present,259,259,0,27785
LocationDialogue Location18,Spanish (LatinAmerica),present,259,259,0,28331
LocationDialogue Location18,Spanish (Spain),present,259,259,0,28545
LocationDialogue Location18,Swedish,present,259,259,0,28445
LocationDialogue Location18,Thai,present,259,259,0,38992
LocationDialogue Location18,Turkish,present,259,259,0,27211
LocationDialogue Location18,Ukrainian,present,259,259,0,35411
LocationDialogue Location18,Vietnamese,present,259,259,0,31508
LocationDialogue Location19,Arabic,present,605,605,0,63920
LocationDialogue Location19,Arabic (Egyptian),present,605,605,0,67561
LocationDialogue Location19,Belarusian,present,605,605,0,63284
LocationDialogue Location19,Bulgarian,present,605,605,0,61854
LocationDialogue Location19,ChineseSimplified,present,605,605,0,56806
LocationDialogue Location19,ChineseTraditional,present,605,605,0,56806
LocationDialogue Location19,Croatian,present,605,605,0,55118
LocationDialogue Location19,Czech,present,605,605,0,57098
LocationDialogue Location19,English,present,605,605,0,56202
LocationDialogue Location19,Filipino,present,605,605,0,56322
LocationDialogue Location19,French,present,605,605,0,59993
LocationDialogue Location19,German,present,605,605,0,57929
LocationDialogue Location19,Hungarian,present,605,605,0,56287
LocationDialogue Location19,Indonesia,present,605,605,0,57103
LocationDialogue Location19,Italian,present,605,605,0,55991
LocationDialogue Location19,Japanese,present,605,605,0,60236
LocationDialogue Location19,Kazakh,present,605,605,0,64605
LocationDialogue Location19,Korean,present,605,605,0,59356
LocationDialogue Location19,Persian,present,605,605,0,67566
LocationDialogue Location19,Polish,present,605,605,0,56215
LocationDialogue Location19,Portugues Portugal,present,605,605,0,56430
LocationDialogue Location19,Português-Brasil,present,605,605,0,55859
LocationDialogue Location19,Pre-revolutionaryRussian,present,605,605,0,64235
LocationDialogue Location19,Romanian,present,605,605,0,55989
LocationDialogue Location19,Russian,present,605,605,0,63326
LocationDialogue Location19,Serbian (Latin),present,605,605,0,55172
LocationDialogue Location19,Slovak,present,605,605,0,55579
LocationDialogue Location19,Spanish (LatinAmerica),present,605,605,0,56204
LocationDialogue Location19,Spanish (Spain),present,605,605,0,56463
LocationDialogue Location19,Swedish,present,605,605,0,56993
LocationDialogue Location19,Thai,present,605,605,0,72234
LocationDialogue Location19,Turkish,present,605,605,0,55052
LocationDialogue Location19,Ukrainian,present,605,605,0,63082
LocationDialogue Location19,Vietnamese,present,605,605,0,61076
LocationDialogue Location2,Arabic,present,9,9,0,959
LocationDialogue Location2,Arabic (Egyptian),present,9,9,0,964
LocationDialogue Location2,Belarusian,present,9,9,0,838
LocationDialogue Location2,Bulgarian,present,9,9,0,874
LocationDialogue Location2,ChineseSimplified,present,9,9,0,818
LocationDialogue Location2,ChineseTraditional,present,9,9,0,818
LocationDialogue Location2,Croatian,present,9,9,0,812
LocationDialogue Location2,Czech,present,9,9,0,809
LocationDialogue Location2,English,present,9,9,0,815
LocationDialogue Location2,Filipino,present,9,9,0,814
LocationDialogue Location2,French,present,9,9,0,882
LocationDialogue Location2,German,present,9,9,0,841
LocationDialogue Location2,Hungarian,present,9,9,0,799
LocationDialogue Location2,Indonesia,present,9,9,0,842
LocationDialogue Location2,Italian,present,9,9,0,832
LocationDialogue Location2,Japanese,present,9,9,0,860
LocationDialogue Location2,Kazakh,present,9,9,0,868
LocationDialogue Location2,Korean,present,9,9,0,858
LocationDialogue Location2,Persian,present,9,9,0,1043
LocationDialogue Location2,Polish,present,9,9,0,834
LocationDialogue Location2,Portugues Portugal,present,9,9,0,856
LocationDialogue Location2,Português-Brasil,present,9,9,0,826
LocationDialogue Location2,Pre-revolutionaryRussian,present,9,9,0,839
LocationDialogue Location2,Romanian,present,9,9,0,813
LocationDialogue Location2,Russian,present,9,9,0,836
LocationDialogue Location2,Serbian (Latin),present,9,9,0,820
LocationDialogue Location2,Slovak,present,9,9,0,798
LocationDialogue Location2,Spanish (LatinAmerica),present,9,9,0,837
LocationDialogue Location2,Spanish (Spain),present,9,9,0,874
LocationDialogue Location2,Swedish,present,9,9,0,866
LocationDialogue Location2,Thai,present,9,9,0,1021
LocationDialogue Location2,Turkish,present,9,9,0,832
LocationDialogue Location2,Ukrainian,present,9,9,0,826
LocationDialogue Location2,Vietnamese,present,9,9,0,869
LocationDialogue Location20,Arabic,present,92,92,0,9997
LocationDialogue Location20,Arabic (Egyptian),present,92,92,0,10338
LocationDialogue Location20,Belarusian,present,92,92,0,9564
LocationDialogue Location20,Bulgarian,present,92,92,0,9647
LocationDialogue Location20,ChineseSimplified,present,92,92,0,8638
LocationDialogue Location20,ChineseTraditional,present,92,92,0,8635
LocationDialogue Location20,Croatian,present,92,92,0,8391
LocationDialogue Location20,Czech,present,92,92,0,8605
LocationDialogue Location20,English,present,92,92,0,8597
LocationDialogue Location20,Filipino,present,93,92,1,8722
LocationDialogue Location20,French,present,92,92,0,8888
LocationDialogue Location20,German,present,92,92,0,8762
LocationDialogue Location20,Hungarian,present,92,92,0,8705
LocationDialogue Location20,Indonesia,present,92,92,0,8799
LocationDialogue Location20,Italian,present,92,92,0,8702
LocationDialogue Location20,Japanese,present,92,92,0,9113
LocationDialogue Location20,Kazakh,present,92,92,0,9679
LocationDialogue Location20,Korean,present,92,92,0,8885
LocationDialogue Location20,Persian,present,92,92,0,9522
LocationDialogue Location20,Polish,present,92,92,0,8574
LocationDialogue Location20,Portugues Portugal,present,92,92,0,8646
LocationDialogue Location20,Português-Brasil,present,92,92,0,8568
LocationDialogue Location20,Pre-revolutionaryRussian,present,92,92,0,9633
LocationDialogue Location20,Romanian,present,92,92,0,8633
LocationDialogue Location20,Russian,present,92,92,0,9522
LocationDialogue Location20,Serbian (Latin),present,92,92,0,8387
LocationDialogue Location20,Slovak,present,92,92,0,8515
LocationDialogue Location20,Spanish (LatinAmerica),present,92,92,0,8646
LocationDialogue Location20,Spanish (Spain),present,92,92,0,8737
LocationDialogue Location20,Swedish,present,92,92,0,8693
LocationDialogue Location20,Thai,present,92,92,0,10976
LocationDialogue Location20,Turkish,present,92,92,0,8455
LocationDialogue Location20,Ukrainian,present,92,92,0,9522
LocationDialogue Location20,Vietnamese,present,92,92,0,9250
LocationDialogue Location3,Arabic,present,437,437,0,45410
LocationDialogue Location3,Arabic (Egyptian),present,437,437,0,46139
LocationDialogue Location3,Belarusian,present,437,437,0,42988
LocationDialogue Location3,Bulgarian,present,437,437,0,42438
LocationDialogue Location3,ChineseSimplified,present,437,437,0,39430
LocationDialogue Location3,ChineseTraditional,present,437,437,0,39466
LocationDialogue Location3,Croatian,present,437,437,0,38631
LocationDialogue Location3,Czech,present,437,437,0,39442
LocationDialogue Location3,English,present,437,437,0,38935
LocationDialogue Location3,Filipino,present,437,437,0,39708
LocationDialogue Location3,French,present,437,437,0,40486
LocationDialogue Location3,German,present,437,437,0,39996
LocationDialogue Location3,Hungarian,present,437,437,0,39050
LocationDialogue Location3,Indonesia,present,437,437,0,39282
LocationDialogue Location3,Italian,present,439,437,2,39322
LocationDialogue Location3,Japanese,present,437,437,0,41349
LocationDialogue Location3,Kazakh,present,437,437,0,43923
LocationDialogue Location3,Korean,present,437,437,0,39902
LocationDialogue Location3,Persian,present,437,437,0,47663
LocationDialogue Location3,Polish,present,437,437,0,39658
